alcaldia_hechos,cve_col,DELITOS_2018
ALVARO OBREGON,10-001,31
ALVARO OBREGON,10-002,34
ALVARO OBREGON,10-003,49
ALVARO OBREGON,10-004,89
ALVARO OBREGON,10-005,20
ALVARO OBREGON,10-006,63
ALVARO OBREGON,10-007,40
ALVARO OBREGON,10-009,257
ALVARO OBREGON,10-010,605
ALVARO OBREGON,10-011,116
ALVARO OBREGON,10-013,7
ALVARO OBREGON,10-014,37
ALVARO OBREGON,10-015,135
ALVARO OBREGON,10-018,55
ALVARO OBREGON,10-020,4
ALVARO OBREGON,10-021,20
ALVARO OBREGON,10-022,17
ALVARO OBREGON,10-026,240
ALVARO OBREGON,10-027,9
ALVARO OBREGON,10-028,21
ALVARO OBREGON,10-029,117
ALVARO OBREGON,10-031,225
ALVARO OBREGON,10-032,30
ALVARO OBREGON,10-033,69
ALVARO OBREGON,10-036,1
ALVARO OBREGON,10-038,117
ALVARO OBREGON,10-039,9
ALVARO OBREGON,10-042,176
ALVARO OBREGON,10-044,140
ALVARO OBREGON,10-046,6
ALVARO OBREGON,10-047,26
ALVARO OBREGON,10-049,127
ALVARO OBREGON,10-052,56
ALVARO OBREGON,10-053,20
ALVARO OBREGON,10-055,5
ALVARO OBREGON,10-057,4
ALVARO OBREGON,10-059,35
ALVARO OBREGON,10-060,12
ALVARO OBREGON,10-061,38
ALVARO OBREGON,10-062,4
ALVARO OBREGON,10-063,156
ALVARO OBREGON,10-065,14
ALVARO OBREGON,10-066,26
ALVARO OBREGON,10-071,105
ALVARO OBREGON,10-073,377
ALVARO OBREGON,10-074,28
ALVARO OBREGON,10-077,99
ALVARO OBREGON,10-078,74
ALVARO OBREGON,10-079,150
ALVARO OBREGON,10-080,13
ALVARO OBREGON,10-083,21
ALVARO OBREGON,10-084,409
ALVARO OBREGON,10-085,40
ALVARO OBREGON,10-087,32
ALVARO OBREGON,10-088,73
ALVARO OBREGON,10-089,72
ALVARO OBREGON,10-090,18
ALVARO OBREGON,10-091,902
ALVARO OBREGON,10-092,321
ALVARO OBREGON,10-094,22
ALVARO OBREGON,10-095,18
ALVARO OBREGON,10-096,74
ALVARO OBREGON,10-098,15
ALVARO OBREGON,10-100,53
ALVARO OBREGON,10-101,7
ALVARO OBREGON,10-103,141
ALVARO OBREGON,10-104,540
ALVARO OBREGON,10-105,47
ALVARO OBREGON,10-106,144
ALVARO OBREGON,10-107,9
ALVARO OBREGON,10-108,11
ALVARO OBREGON,10-109,118
ALVARO OBREGON,10-111,28
ALVARO OBREGON,10-112,14
ALVARO OBREGON,10-115,163
ALVARO OBREGON,10-118,28
ALVARO OBREGON,10-119,15
ALVARO OBREGON,10-120,20
ALVARO OBREGON,10-121,95
ALVARO OBREGON,10-122,36
ALVARO OBREGON,10-124,155
ALVARO OBREGON,10-127,118
ALVARO OBREGON,10-130,77
ALVARO OBREGON,10-131,30
ALVARO OBREGON,10-132,179
ALVARO OBREGON,10-134,67
ALVARO OBREGON,10-135,40
ALVARO OBREGON,10-139,66
ALVARO OBREGON,10-140,58
ALVARO OBREGON,10-142,38
ALVARO OBREGON,10-143,104
ALVARO OBREGON,10-144,17
ALVARO OBREGON,10-146,3
ALVARO OBREGON,10-147,19
ALVARO OBREGON,10-148,24
ALVARO OBREGON,10-149,111
ALVARO OBREGON,10-151,457
ALVARO OBREGON,10-153,5
ALVARO OBREGON,10-154,235
ALVARO OBREGON,10-156,148
ALVARO OBREGON,10-157,36
ALVARO OBREGON,10-158,10
ALVARO OBREGON,10-159,104
ALVARO OBREGON,10-160,12
ALVARO OBREGON,10-161,26
ALVARO OBREGON,10-162,6
ALVARO OBREGON,10-163,59
ALVARO OBREGON,10-167,15
ALVARO OBREGON,10-168,1
ALVARO OBREGON,10-170,38
ALVARO OBREGON,10-172,231
ALVARO OBREGON,10-174,30
ALVARO OBREGON,10-176,110
ALVARO OBREGON,10-177,97
ALVARO OBREGON,10-178,48
ALVARO OBREGON,10-179,70
ALVARO OBREGON,10-180,36
ALVARO OBREGON,10-182,269
ALVARO OBREGON,10-184,35
ALVARO OBREGON,10-185,84
ALVARO OBREGON,10-188,7
ALVARO OBREGON,10-189,40
ALVARO OBREGON,10-190,15
ALVARO OBREGON,10-192,634
ALVARO OBREGON,10-193,66
ALVARO OBREGON,10-194,303
ALVARO OBREGON,10-195,84
ALVARO OBREGON,10-196,5
ALVARO OBREGON,10-197,482
ALVARO OBREGON,10-198,302
ALVARO OBREGON,10-199,61
ALVARO OBREGON,10-200,194
ALVARO OBREGON,10-201,8
ALVARO OBREGON,10-202,16
ALVARO OBREGON,10-203,85
ALVARO OBREGON,10-204,189
ALVARO OBREGON,10-208,29
ALVARO OBREGON,10-211,16
ALVARO OBREGON,10-212,23
ALVARO OBREGON,10-213,10
ALVARO OBREGON,10-214,131
ALVARO OBREGON,10-216,5
ALVARO OBREGON,10-217,412
ALVARO OBREGON,10-218,54
ALVARO OBREGON,10-220,48
ALVARO OBREGON,10-222,34
ALVARO OBREGON,10-223,27
ALVARO OBREGON,10-224,104
ALVARO OBREGON,10-226,355
ALVARO OBREGON,10-228,189
ALVARO OBREGON,10-231,1
ALVARO OBREGON,10-234,34
ALVARO OBREGON,10-235,52
ALVARO OBREGON,10-236,15
ALVARO OBREGON,10-237,18
ALVARO OBREGON,10-238,34
ALVARO OBREGON,10-239,65
ALVARO OBREGON,10-241,18
ALVARO OBREGON,10-243,56
ALVARO OBREGON,10-245,33
ALVARO OBREGON,10-246,98
ALVARO OBREGON,10-247,41
ALVARO OBREGON,10-251,386
ALVARO OBREGON,10-252,331
ALVARO OBREGON,10-253,19
